post,normalized claim
"साउथ के सुपरस्टार अभिनेता यस कुमार ने आज राम मंदिर का दौरा किया और राम मंदिर के निर्माण में 50 करोड़ रूपये देने का ऐलान किया,,",यश राम मंदिर गए और मंदिर निर्माण के लिए 50 करोड़ रुपये देने का ऐलान किया।
15 मई 2018 वाराणसी पुल हादसा याद है वो ठेकेदार योगी को आज तक नही मिल पाया,"15 मई 2018 को वाराणसी में जो फ्लाईओवर गिरा था, उसे बनाने वाले ठेकेदार को योगी आदित्यनाथ की पुलिस आज तक नहीं पकड़ पाई है."
कुछ लोग कहते हैं कि योगी जी ने कुछ नही किया। ये आजम खां 27 महीने जेल में रहकर आया है और जेल से बाहर आते ही इसे अपने आदर्श भगवान राम और भगवान कृष्ण दिखने लगे हैं। योगी जी का अंदाज ही निराला है।,कुछ लोग कहते हैं कि योगी जी ने कुछ नही किया। ये आजम खां 27 महीने जेल में रहकर आया है और जेल से बाहर आते ही इसे अपने आदर्श भगवान राम और भगवान कृष्ण दिखने लगे हैं। योगी जी का अंदाज ही निराला है।
"बॉलीवुड अब मदरसा बन गया। भारतीय बॉलीवुड मनोरंजन का नहीं इस्‍लाम और उर्दू के प्रचार का अड्डा है। इसलिए आपको हर मूवी में इस्‍लाम को महान और हर गाने में अली, मौला, खुदा यह शब्‍द सुनने को मिलते हैं। boycott Bollywood",बॉलीवुड के बहिष्‍कार का प्‍लेकार्ड पकड़ी हुई युवती की तस्‍वीर
"महत्वपूर्ण सूचना खुफिया जानकारी के मुताबिक, चूंकि पाकिस्तान भारत पर सीधे हमला नहीं कर सकता, इसलिए उसने भारत से बदला लेने की मांग की है। चीन ने भारत में अस्थमा फैलाने के लिए कार्बन मोनोऑक्साइड गैस से भी ज्यादा जहरीले पटाखों का विकास किया है। इसके अलावा भारत में आंखों की बीमारियों को फैलने के लिए विशेष लाइट डेकोरेटिव लैंप भी विकसित किए जा रहे हैं जो अंधेपन का कारण बनता है। पारे का बहुत उपयोग किया गया है, कृपया इस दिवाली सावधान रहें और इन चीनी उत्पादों का उपयोग न करें। इस संदेश को सभी भारतीयों तक पहुंचाएं।",गृह मंत्रालय ने चीनी पटाखों को लेकर जारी किया सर्कुलर।
डेंगू को 48 घंटे में समाप्त करने की क्षमता रखने वाली दवा । कृपया इस संदेश को अधिक से अधिक लोगो तक भेजे महत्वपूर्ण सूचना यदि किसी को डेंगू या साधारण बुखार के कारण प्लेटलेट्स कम हो गयी है तो एक होमोपेथिक दवा है। EUPATORIUM PERFOIAM 200 liquid dilution homeopathic medicine. इसकी 3 या 4 बूँदें प्रत्येक 2-2 घंटे में साधारण पानी में डाल कर मात्र 2 दिन पिलायें । यदि आप पुण्य कमाना चाहते हैं तो यह संदेश धर्म-प्रसाद मान कर सभी को प्रेषित करे।,डेंगू को 48 घंटे में समाप्त करने की क्षमता रखने वाली दवा । कृपया इस संदेश को अधिक से अधिक लोगो तक भेजे महत्वपूर्ण सूचना यदि किसी को डेंगू या साधारण बुखार के कारण प्लेटलेट्स कम हो गयी है तो एक होमोपेथिक दवा है। EUPATORIUM PERFOIAM 200 liquid dilution homeopathic medicine. इसकी 3 या 4 बूँदें प्रत्येक 2-2 घंटे में साधारण पानी में डाल कर मात्र 2 दिन पिलायें । यदि आप पुण्य कमाना चाहते हैं तो यह संदेश धर्म-प्रसाद मान कर सभी को प्रेषित करे
विल स्मिथ और क्रिस रॉक की कहानी में लोग इतना खो गए कि ऑस्कर 2022 समारोह के दौरान जेसन डेरुलो के सीढ़ियों से गिरने की कोई बात ही नहीं कर रहा है,हॉलीवुड गायक जेसन डेरुलो 2022 के ऑस्कर समारोह में सीढ़ियों से गिर गए.
World’s richest cricket board #BCCI #indvsaus,भारत और ऑस्‍ट्रेलिया के मैच में हेयर ड्रायर से पिच सुखाई गई
शाहरुख खान की पठान मूवी ना देखने के लिए मुख्यमंत्री बाबा योगी जी का संदेश.. इस सन्देश को घर-घर पहुँचायें.. यह वीडियो बहुत महत्वपूर्ण है.. आप जिस किसी बड़े ग्रूपसे जुड़े हो उसमें भी इसे भेजो और परिवारके युवाओं को सुनाओ।,योगी आदित्यनाथ ने की पठान मूवी के बहिष्कार की अपील
"बच्‍चे अल्‍लाह की देन हैं और रहने के लिए जमीन रेलवे दे। Haldwani Railway Land Encroachment : रेलवे की जमीन पर रह रहे 4 हजार से ज्‍यादा परिवार, 10 मस्जिदों भी बनाई हैं।",हल्द्वानी में रेलवे की जमीन पर अतिक्रमण की तस्‍वीर
दुनिया का सबसे लंबा आदमी पाकिस्तान का एक मुस्लिम भाई है।,", “दुनिया का सबसे लंबा आदमी पाकिस्तान का एक मुस्लिम भाई है"
योगी आदित्यनाथ का आया तगड़ा बयान नूपुर शर्मा के समर्थन में!,योगी आदित्यनाथ का आया तगड़ा बयान नूपुर शर्मा के समर्थन में
"#Kota: कोचिंग सेन्टर में हथियारबंद बदमाश घुसने से मचा हड़कंप. दमकल-एम्बुलेन्स सहित भारी पुलिस जत्था रवाना. रेजोनेन्स कोचिंग संस्थान में हथियार समेत घुसने की खबर, पुलिस ने पूरे इलाके को किया सील,फायरिंग की भी मिल रही सूचना #KotaPolice #IgpKota",तस्वीरों में देखा जा सकता है कि कैसे राजस्थान के कोटा के एक कोचिंग सेंटर में हथियारबंद बदमाश घुस गए जिस वजह से वहां हड़कंप मच गया.
आप राष्ट्रपति बन सकते हैं लेकिन 'कलाम' नहीं.....,"राष्ट्रपति रामनाथ कोविंद ने विशेष ट्रेन से सफर किया, जबकि डॉ एपीजे अब्दुल कलाम ने राष्ट्रपति रहते हुए एक साधारण ट्रेन से सफर किया था."
"आमिर खान, अफरीदी और जमैत ए उल के आतंकवादी तारिक जमील के साथ। सत्यमेव जयते!!!! इसको ज्यादा से ज्यादा शेयर करें और इस आमिर की सच्चाई लोगो तक पहिचाये।","आमिर खान, अफरीदी और जमैत ए उल के आतंकवादी तारिक जमील के साथ"
एशिया का सबसे बड़ा वैश्यावृत्ति का अड्डा। #सोनागाछी थाईलेंडियों ने इंडिया में अपने सफर की शुरुआत सोनागाछी से ही की थी,वायरल तस्वीर में देखा जा सकता है कि गृहमंत्री अमित शाह पश्चिम बंगाल के रेड लाइट एरिया सोनागाछी में प्रचार कर रहे हैं.
"GUJ : सूरत के कपड़ा व्यापारी Sekhar Agarwal के घर से ED ने बरामद किया 2000 और 500 के बंडलों का अंबार, गिनती के लिए मंगाई गई मशीन!पहले कांग्रेस मे था… अब आप मे जुड़ गया है! चम्मचो मे मची भगदड हुए निराश।",सूरत के कपड़ा कारोबारी के घर पर ईडी की रेड
शिक्षक वीरों के लिए हार्दिक बधाई एवं शुभकामनाएं। देश के नए नए आयाम छूता हुआ अब 1 सितंबर 2022 से शिक्षकों की भर्ती भी अब शिक्षक वीर के पद पर होगी। महामहिम जी ने शिक्षक वीरों की दी मंजूरी। सभी शिक्षक वीरों को हार्दिक बधाई और शुभकमानाएं।,B.Ed वालों के लिए बड़ी खुशखबरी अग्निवरी की तर्ज पर भर्ती। 4 गुना शिक्षक लिए जाएंगे। 1 सितंबर से नया नियम। 10 साल होगी शिक्षक नौकरी।
राहुल गांधी को ये नहीं पता की आटा लीटर में आता है या किलो में तो ये क्या आम आदमी की समस्या को समझेंगे राहुल गांधी जी पहले आम आदमी के साथ कुछ दिन रह के देखो फिर प्रधानमंत्री बनने का सपने देखना,राहुल गांधी ने अपने भाषण में आटे का भाव &quot;केजी&quot; के बजाए &quot;लीटर&quot; में बताया.
"शहीदों की चिताओं पर लगेंगे हर बरस मेले, वतन पर मरनेवालों का यही बाकी निशां होगा।","शहीदों की चिताओं पर लगेंगे हर बरस मेले, वतन पर मरने वालों का यही बाकी निशां होगा।” माँ भारती को अपना सर्वस्व समर्पण करने वाले सपूत, नयागाँव ख़गड़िया बिहार के लाल शहीद कैप्टन आनंद को शत शत नमन"
भारत जोड़ो यात्रा में दी गई सचिन पायलट की तस्‍वीर।,राहुल गांधी को दिया गया सचिन पायलट और अशोक गहलोत का स्‍केच
"तमिलनाडु मे पाए जाना वाले इस पौधे को उधु पवई के नाम से जाना जाता हैं, यह विशेष रूप से वर्षा वन मे उगता हैं! यह एक औषधी पौधा हैं जो अपने परागकाणो को ध्वनि से उड़ाया हैं! ऐतिहासिक रेल इंजिन की तरह","तमिलनाडु मे पाए जाना वाले इस पौधे को उधु पवई के नाम से जाना जाता हैं, यह विशेष रूप से वर्षा वन मे उगता हैं! यह एक औषधी पौधा हैं जो अपने परागकाणो को ध्वनि से उड़ाया हैं! ऐतिहासिक रेल इंजिन की तरह"
"BJP को लगता है कि वो हमारी ‘बहू’ को अपने पाले में लेकर हमे हरा देंगे लेकिन उन्हें पता होना चाहिए कि ‘रावण’ को विभीषण एक ही बार मरवा सकता है, हर बार नही. बेशक हम यदुवंशी हैं लेकिन रामायण हमने भी कई बार पढ़ी है. हमारी नाभि में अमृत कहाँ छिपा है ये आज के ‘विभीषण’ को भी नही पता","यूपी के पूर्व सीएम अखिलेश यादव ने एक ट्वीट के जरिये कहा है कि भाजपा भले ही सपा की “बहू” को ले गई हो, पर वो सपा को नहीं हरा पाएगी."
शिवराज मामा की ओर से अपनी बहनों और भांजियों के लिए विशेष तोहफ़ा. #Mama_Cares,मध्य प्रदेश की शिवराज सरकार महिलाओं के लिए अलग से शराब की दुकानें खोलने जा रही है.
अफगानिस्तान एयरपोर्ट पर होती सुरक्षा जांच,तस्वीर में देखा जा सकता है कि कैसे अफगानिस्तान एयरपोर्ट पर एक आदमी की तलाशी हो रही है जो कंधे पर खुलेआम एक राइफल लटकाए हुए है.
"पश्चिम बंगाल में दलित/ मुस्लिम झड़प में कुछ खुराफाती मुस्लिमों ने अंबेडकर के मूर्ति की नाक काटी और चश्मे को भी छतिग्रस्त कर डाला….अत्यंत दु:खद घटना, सम्पूर्ण जागृत हिंदू समाज इस कृत्य की घोर निन्दा करता है!",पश्चिम बंगाल में दलित/ मुस्लिम झड़प में कुछ खुराफाती मुस्लिमों ने अंबेडकर के मूर्ति की नाक काटी और चश्मे को भी छतिग्रस्त कर डाला….
"There were 53 Nepali citizens, 5 Indian nationals, 4 Russians, 2 Koreans, 1 Irish, 1 Argentinian, and 1 French national in the aircraft that crashed near #PokharaAirport: Nepal Airport Authorities",नेपाल के पोखरा में हुए विमान दुर्घटना का है यह वीडियो।
"वीडियो जरूर देखे..जहांगीर पूरी के बादसंगम विहार..भारतीय जनता पार्टी के छोड़कर किसी ओर पार्टी को वोट दिया आपके साथ भी ऐसा ही होने वाला है यह बात ध्यान में रखोगे।mविकास चल रहा है कृपया हिंदू दूर रहे, विकास पूरा होने पर आपको बता दिया जाएगाजैसे काश्मीर, बंगाल केरल कर्नाटक में बता भी दिया था भगा भी दिया था। दिल्ली संगम विहार की घटना मुसलमानों का आतंग और बसाओ इनको अपने आस पास एक समय आएगा यही परिणाम मिलेगा","जहांगीर पूरी के बादसंगम विहार..भारतीय जनता पार्टी के छोड़कर किसी ओर पार्टी को वोट दिया आपके साथ भी ऐसा ही होने वाला है यह बात ध्यान में रखोगे।mविकास चल रहा है कृपया हिंदू दूर रहे, विकास पूरा होने पर आपको बता दिया जाएगाजैसे काश्मीर, बंगाल केरल कर्नाटक में बता भी दिया था भगा भी दिया था।  दिल्ली संगम विहार की घटना मुसलमानों का आतंग और बसाओ इनको अपने आस पास एक समय आएगा यही परिणाम मिलेगा”....!!!"
मेरे पूर्वज जम्मू के डोंगरा राजपूत थे – सल्लू भाई।,सलमान खान ने कहा है कि उनके पूर्वज जम्मू के डोगरा राजपूत थे।
"हिंदुस्तान नटराज पेंसिल पैकिंग वर्क फ्रॉम होम जॉब्स घर पर करने का लेडीस एंड पुरुष सभी के लिए जॉब अवेलेबल ऑल इंडिया जॉब कंपनी ₹30000 सैलरी देती है 15,000 एडवांस मैट्रियल के साथ मिलेगा कंपनी का कॉलिंग नंबर 8293350972 कंपनी का व्हाट्सएप नंबर 8293350972 JOINING CARD CHARGE 620",नटराज पेंसिल वर्क कंपनी दे रही है मौका घर पर रहकर काम करने का
लता मंगेशकर की मृत्यु से पहले आखिरी पल,ये भारत रत्न लता मंगेशकर की मृत्यु से पहले उनके अंतिम क्षणों का वीडियो है.
दिल्‍ली में हिंदू-मुसलमान के बीच दंगे कराने वाले कपिल मिश्रा की बहन ने की शहजाद अली से शादी।,कपिल मिश्रा की बहन ने की मुस्लिम युवक से शादी
"इस्लाम के बारे में अंतरराष्ट्रीय नफरत फैलाने वाले अखबारों के हंगामे के बाद दुनिया के सबसे अमीर आदमी बिल गेट्स ने पूरी कहानी को कोने में निकाल कर सबको चुप करा दिया और अपने पेज पर बोला और कहा: मैं ईदुलाधा के दौरान उनके बलिदान के कारण मुसलमानों से नफरत नहीं देखना चाहता। केएफसी, मैकडॉनल्ड्स और बर्गर किंग के रेस्तरां में रोजाना लाखों जानवर मारे जाते हैं। यह अमीरों को खिलाने और बहुत पैसा कमाने के लिए है। जबकि ईद पर मुसलमान इन जानवरों को गरीबों को खिलाने और उन्हें मुफ्त में देने के लिए बलिदान करते हैं। क्या हमने अपना दिमाग खो दिया है?","इस्लाम के बारे में अंतरराष्ट्रीय नफरत फैलाने वाले अखबारों के हंगामे के बाद दुनिया के सबसे अमीर आदमी बिल गेट्स ने पूरी कहानी को कोने में निकाल कर सबको चुप करा दिया और अपने पेज पर बोला और कहा: मैं ईदुलाधा के दौरान उनके बलिदान के कारण मुसलमानों से नफरत नहीं देखना चाहता। केएफसी, मैकडॉनल्ड्स और बर्गर किंग के रेस्तरां में रोजाना लाखों जानवर मारे जाते हैं। यह अमीरों को खिलाने और बहुत पैसा कमाने के लिए है। जबकि ईद पर मुसलमान इन जानवरों को गरीबों को खिलाने और उन्हें मुफ्त में देने के लिए बलिदान करते हैं। क्या हमने अपना दिमाग खो दिया है?"
"जिस चुनावी वर्ष के आखिरी में 2 रहता है, तब तब सपा सरकार बनाती है","जिस चुनावी साल के आखिर में ‘2’ अंक आता हो, उस साल यूपी में सपा की सरकार बनती है. मिसाल के तौर पर 1992, 2002 और 2012. इसीलिए 2022 में भी सपा ही चुनाव जीतेगी."
उत्तराखण्ड पुलिस बेटी बचाओ बेटी पढ़ोओ अभियान को सफल बनाती हुई शर्म करो. #Uttrakhandpolice,ये वीडियो उत्तराखंड का है जहां हाल ही में पुलिस ने विरोध प्रदर्शन कर रहे युवाओं को पीटा.
रामानंद सागर की रामायण में आर्य सुमंत का किरदार निभाने वाले चंद्रशेखर का आज 98 वर्ष की उम्र में निधन हो गया… रामायण में जब श्रीराम को वनवास मिला तो अयोध्या से वन तक श्रीराम इनके ही रथ में गए थे… भगवान इनकी आत्मा को शान्ति दे…,अभिनेता चंद्रशेखर का आज 98 वर्ष की आयु में निधन हो गया।
ये हैं तहरीक ए तालिबान का हेड नूरवली महसूद. ये इसकी इकलौती तस्वीर है जो सीआईए ने करोड़ों डॉलर रिश्वत देके हासिल की थी. हाल के दिनों में पाकिस्तान में जो हमले हुए हैं वो इसी के इशारे पे हुए हैं. देखने में कितना शरीफ लग रहा है लेकिन है उतना ही बड़ा जालिम. पाकिस्तान ने जो सांप पाले थे हिंदुस्थान को काटने के लिए वो अब उसे ही काट रहे हैं,इस तस्वीर में दिख रहा शख्स तहरीक-ए-तालिबान पाकिस्तान का मुखिया नूर वली मेहसूद है.
#विनम्र_श्रद्धांजलि ठंड में इंतजार एक सवारी का था और मसला दो रोटी का… मौत ने दोनों सवाल ही ख़तम कर दिए ईश्वर पुण्य आत्मा को अपने श्री चरणों में स्थान दें और परिवार को इस सदमे को बर्दाश्त करने की शक्ति प्रदान करे।ओम शांति ओम।,ठंड से चली गई रिक्‍शा चालक की जान
फ्री स्क्रीनिंग में भी कुर्सियां खाली है,लाल सिंह चड्ढा मूवी की फ्री स्क्रीनिंग के दौरान कुर्सियां खाली रहीं।
"फोन पे, गूगल पे, और पेटीएम से मनी ट्रांस्फर का काम करने वालों से 30% टैक्स वसूल किया जाएगा. इनकम टैक्स डिपार्टमेंट का नोटिस आ गया","इनकम टैक्स विभाग ने एक नोटिस जारी किया है जिसमें कहा गया है कि अब गूगल पे, पेटीएम या फोन पे के जरिये पैसों का व्यावसायिक लेनदेन करने पर 30 प्रतिशत तक इनकम टैक्स चुकाना होगा."
व्लादिमीर पुतिन जब 2000वीं ईसवी में जापान के दौरे पर थे तब एक यंग लड़की ने जूडो में पटक दिया था. इसके बाद वो लड़की कभी नहीं देखी गई,साल 2000 में जापान में जूडो के खेल में पुतिन को मात देने वाली छोटी लड़की दोबारा कभी दिखाई नहीं दी.
कश्मीर फाइल्स के बाद गजब का फिल्म आ रहा है …धारा–370।यह फिल्म फिर तहलका मचा देगा।देखिये इसका ट्रेलर।,कश्मीर फाइल्स के बाद गजब फिल्म आ रही है धारा--370
"एलन मस्क फेसबुक खरीदने वाले हैं और वह इसे वैसे ही डिलीट कर देंगे, जैसे फेसबुक ने फ्रेंडस्टर के साथ किया था। ओएमजी कर्म वास्तविक है।",Elon Musk gonna buy Facebook and he will delete it same as what facebook did to friendster. OMG karma is real.
"अब आएगा असली मजा, बहन नूपुर शर्मा का केस जितेंद्र त्यागी वसीम रिजवी लड़ेंगे अब जो होगा वो सरेआम होगा कुरान पढ़ी जाएगी और सबको बताया जाएगा क्या लिखा है इसमें. अब टीवी पर लाइव और दिखा दे तो मजा आ जाए",पूर्व बीजेपी प्रवक्ता नूपुर शर्मा का केस शिया सेंट्रल वक्फ बोर्ड के पूर्व अध्यक्ष जितेंद्र त्यागी लड़ेंगे.
राजकोट’ में स्थानीय लोग बड़ी संख्या में “आप,केजरीवाल की गुजरात रैली की तस्वीर।
इस भजन की खास बात यह है की इसमें कृष्ण के 100 नामो के अलावा एक भी दूसरा शब्द नहीं हे ! और गायिका है महान गायक मोहम्मद रफी की पोती कुमारी परवेज मुस्तफा।,मोहम्मद रफी की पोती परवेज मुस्तफा का भजन गाते हुए वीडियो।
#gobackmodi हम तुमसे नफरत करते हैं,पीएम नरेंद्र मोदी के 26 मई के तमिलनाडु दौरे से ठीक पहले वहां के एक रेलवे स्टेशन बोर्ड पर ‘गो बैक मोदी’ लिख दिया गया है.
आजादी के बाद पहली बार अरुणांचल प्रदेश में एयरपोर्ट बना.. यह होता है असली भारत जोड़ो,डोनी पोलो एयरपोर्ट आजादी के बाद अरुणाचल प्रदेश का पहला एयरपोर्ट है।
"इंग्लैंड के बर्मिंघम में मंदिर पर हमला करने वाले मोहमद रिजवान को पुलिस थाने से अदालत लेकर जा रही थी ये बात वहां रहने वाले हिन्दुओं को पता चल गयी , फिर क्या हुआ —- आप खुद ही देख लो॥ हिन्दू जाग रहा है फिर चाहे किसी भी देश मे हो !।",इंग्लैंड के बर्मिंघम में मंदिर पर हमला करने वाले मोहमद रिजवान को पुलिस थाने से अदालत लेकर जा रही थी. ये बात वहां के हिंदुओं को पता लग गई. इसके बाद उन्होंने रिजवान को जमकर पीटा.
After achieving everything in Football Leo Messi decided to join India Test cricket team to Win upcoming World Test Championship,लियोनेल मेसी ने भारतीय क्रिकेट टीम में शामिल होने का फैसला किया है।
"Amit Shah का Shiv Sena पर पलटवार, क्या Shah Thackeray सरकार गिरा देंगे #Eknath Shinde#Uddhav Thackeray#Amit Shah#Devendra Fadanvis",अमित शाह ने उद्धव ठाकरे की सरकार को गिराने की धमकी दी है।
पीछे बोर्ड पर STD फोन कोड 0542 लिखा है- मतलब प्रधानमंत्री जी का लोकसभा क्षेत्र वाराणसी. उत्तर प्रदेश की भाजपा सरकार,एक बुजुर्ग टीचर की पिटाई का यह वीडियो प्रधानमंत्री के लोकसभा क्षेत्र वाराणसी का है.
